"ledger_id","entity_type","entity_id","original_classification","canonical_disposition","source_presence","policy_or_decision","approval_status","active_in_preview","stable_identifier_preserved","provenance_preserved","recommended_action","evidence","remaining_decision"
"CDL-0001","observation","2025-07-24-mrmqszjt","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0002","observation","2026-06-05-mrmqc198","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0003","observation","2026-07-07-53f8effa-ed4e-46a5-b0cd-993d3d5f93e2","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0004","observation","2026-07-07-f428fb8b-b31e-430a-8f66-91d10b59b429","RESTORE","RESTORE","git_history|release_archive_rc1","POL-06","policy approval pending","yes","yes","yes","Restore from the release/staging snapshot after confirming it represents an approved deployed or staging record.","sources=git_history|release_archive_rc1; variants=1; referenced_media_present_or_none",""
"CDL-0005","observation","2026-07-13-brenda-blanket-flower","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0006","observation","2026-07-13-mrjubzhc","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0007","observation","2026-07-13-mrjuz62o","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0008","observation","2026-07-13-mrjv1r5e","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0009","observation","2026-07-13-mrjv4ib9","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0010","observation","2026-07-13-mrjv66aa","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0011","observation","2026-07-13-mrjvahjq","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0012","observation","2026-07-13-mrjvkfnx","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
"CDL-0013","observation","2026-07-13-mrjvlmsb","HUMAN_DECISION_REQUIRED","DEFER","git_history","POL-01","policy approval pending","no","yes","yes","Preserve in the evidence ledger; determine whether this historical Git record was published, superseded, or intentionally withdrawn.","sources=git_history; variants=1; referenced_media_present_or_none","Authority remains deferred."
